I,V,P,Q,T,Hydrogen,Oxygen,RH anode,Rh Cathode
0,491.1146188,0,8.58E-35,20,8.41E-38,0,0,0.5
0,491.1146188,0,-3.88E-12,20,4.97E-07,4.11E-09,2.68E-14,0.5
0,491.1146188,0,-7.75E-12,20,1.14E-06,1.13E-08,8.05E-14,0.5
0,491.1146189,0,-3.05E-11,20,5.33E-06,8.89E-08,1.35E-12,0.5
0,491.114619,0,-6.40E-11,20,1.16E-05,2.24E-07,5.36E-12,0.5
0,491.1146191,0,-1.17E-10,20,2.18E-05,4.47E-07,1.53E-11,0.5
0,491.1146192,0,-1.85E-10,20,3.50E-05,7.38E-07,3.59E-11,0.5
0,491.1146195,0,-3.11E-10,20,6.10E-05,1.29E-06,1.04E-10,0.5
0,491.1146201,0,-5.05E-10,20,0.000103495,2.15E-06,2.94E-10,0.5
0,491.1146206,0,-6.78E-10,20,0.000143803,2.91E-06,5.72E-10,0.500000001
0,491.1146209,0,-7.80E-10,20,0.000160619,3.35E-06,7.96E-10,0.500000002
0,491.1146212,0,-8.79E-10,20,0.00017223,3.76E-06,1.06E-09,0.500000002
0,491.1146217,0,-1.02E-09,20,0.000185403,4.31E-06,1.52E-09,0.500000003
0,491.1146223,0,-1.19E-09,20,0.000198749,4.94E-06,2.23E-09,0.500000005
0,491.1146231,0,-1.41E-09,20,0.000213017,5.62E-06,3.39E-09,0.500000009
0,491.1146243,0,-1.69E-09,20,0.000230221,6.35E-06,5.44E-09,0.500000014
0,491.1146259,0,-2.08E-09,20,0.000252686,7.03E-06,9.19E-09,0.500000024
0,491.114628,0,-2.55E-09,20,0.000286308,7.50E-06,1.53E-08,0.500000038
0,491.1146303,0,-3.02E-09,20,0.000323763,7.73E-06,2.33E-08,0.500000055
0,491.1146337,0,-3.73E-09,20,0.00037381,7.86E-06,3.84E-08,0.500000083
0,491.1146373,0,-4.48E-09,20,0.000422139,7.89E-06,5.89E-08,0.500000115
0,491.1146437,0,-5.77E-09,20,0.000495288,7.91E-06,1.04E-07,0.500000175
0,491.1146532,0,-7.63E-09,20,0.00058739,7.95E-06,1.92E-07,0.500000274
0,491.1146641,0,-9.73E-09,20,0.000677719,8.01E-06,3.24E-07,0.500000401
0,491.1146753,0,-1.18E-08,20,0.000757824,8.08E-06,4.91E-07,0.500000546
0,491.1146909,0,-1.47E-08,20,0.000855146,8.19E-06,7.73E-07,0.50000077
0,491.1147132,0,-1.87E-08,20,0.000974732,8.34E-06,1.28E-06,0.500001139
0,491.1147404,0,-2.34E-08,20.00000001,0.001098593,8.53E-06,2.03E-06,0.500001656
0,491.1147683,0,-2.81E-08,20.00000001,0.001208413,8.72E-06,2.97E-06,0.500002262
0,491.1148051,0,-3.42E-08,20.00000002,0.00133458,8.97E-06,4.43E-06,0.500003172
0,491.1148562,0,-4.24E-08,20.00000004,0.001484198,9.30E-06,6.85E-06,0.500004628
0,491.1149088,0,-5.05E-08,20.00000005,0.001616381,9.63E-06,9.81E-06,0.50000635
0,491.1149766,0,-6.08E-08,20.00000009,0.001763676,1.00E-05,1.43E-05,0.500008885
0,491.1150685,0,-7.43E-08,20.00000014,0.001933742,1.06E-05,2.14E-05,0.500012856
0,491.1151807,0,-9.02E-08,20.00000023,0.002108559,1.12E-05,3.17E-05,0.500018479
0,491.1152963,0,-1.06E-07,20.00000034,0.002261807,1.19E-05,4.39E-05,0.500025111
0,491.115447,0,-1.26E-07,20.00000051,0.002432244,1.27E-05,6.24E-05,0.500034958
0,491.1156464,0,-1.52E-07,20.00000079,0.00262129,1.38E-05,9.07E-05,0.500049973
0,491.1158519,0,-1.78E-07,20.00000113,0.002784377,1.48E-05,0.000124418,0.500067656
0,491.1161185,0,-2.11E-07,20.00000165,0.002961878,1.62E-05,0.000174505,0.500093786
0,491.1164712,0,-2.52E-07,20.00000246,0.003154185,1.79E-05,0.000251244,0.500133595
0,491.1168337,0,-2.94E-07,20.00000343,0.003315367,1.96E-05,0.000341905,0.500180418
0,491.1173057,0,-3.47E-07,20.00000488,0.003486104,2.18E-05,0.0004771,0.500249994
0,491.117868,0,-4.09E-07,20.00000683,0.00364795,2.43E-05,0.00066246,0.500345105
0,491.1184924,0,-4.75E-07,20.00000927,0.003789703,2.70E-05,0.00089806,0.500465722
0,491.1191704,0,-5.46E-07,20.00001218,0.003911103,2.99E-05,0.001188387,0.500614114
0,491.1198588,0,-6.17E-07,20.00001539,0.004008894,3.29E-05,0.001519131,0.500782975
0,491.120653,0,-6.97E-07,20.00001936,0.004098278,3.62E-05,0.001944884,0.501000176
0,491.1215516,0,-7.86E-07,20.00002415,0.004176983,3.99E-05,0.002483134,0.501274629
0,491.1225389,0,-8.82E-07,20.0000297,0.00424326,4.39E-05,0.003142781,0.501610898
0,491.1236108,0,-9.84E-07,20.00003603,0.004297848,4.83E-05,0.003939388,0.502016979
0,491.1246894,0,-1.09E-06,20.00004265,0.004339504,5.26E-05,0.004825072,0.502468545
0,491.1257731,0,-1.19E-06,20.00004951,0.004371668,5.70E-05,0.005799583,0.502965556
0,491.1271458,0,-1.31E-06,20.00005843,0.00440272,6.25E-05,0.007155428,0.503657393
0,491.1285229,0,-1.44E-06,20.00006759,0.004426039,6.79E-05,0.008651736,0.504421396
0,491.1302483,0,-1.59E-06,20.00007927,0.004448136,7.48E-05,0.010718366,0.50547749
0,491.1322848,0,-1.76E-06,20.00009328,0.004467759,8.28E-05,0.013431036,0.506865268
0,491.1345742,0,-1.96E-06,20.00010918,0.004484996,9.18E-05,0.016832367,0.508607717
0,491.1370883,0,-2.16E-06,20.0001267,0.004500824,0.000101602,0.020993691,0.510742829
0,491.1396049,0,-2.36E-06,20.00014419,0.004515101,0.000111392,0.025602479,0.513111438
0,491.1426732,0,-2.60E-06,20.00016534,0.004531697,0.000123265,0.031815614,0.516310666
0,491.1463151,0,-2.87E-06,20.00019003,0.004550941,0.000137264,0.040026625,0.520548345
0,491.1499601,0,-3.12E-06,20.00021419,0.004569919,0.000151164,0.049141283,0.525263736
0,491.1536077,0,-3.36E-06,20.00023771,0.004588638,0.000164957,0.059146729,0.530452296
0,491.158345,0,-3.66E-06,20.00026722,0.004612312,0.000182677,0.0734334,0.537881928
0,491.1636676,0,-3.96E-06,20.00029894,0.004637723,0.000202306,0.091190218,0.547146162
0,491.1692995,0,-4.26E-06,20.00033086,0.004662961,0.000222727,0.111892986,0.557984811
0,491.1749343,0,-4.53E-06,20.00036122,0.004686322,0.000242771,0.134515541,0.569871024
0,491.1814976,0,-4.81E-06,20.00039479,0.004710963,0.000265589,0.163181977,0.584993601
0,491.1888167,0,-5.08E-06,20.00043028,0.004735202,0.000290313,0.19797135,0.603428523
0,491.1961335,0,-5.31E-06,20.00046411,0.004756152,0.000314213,0.235593293,0.623453417
0,491.2034456,0,-5.49E-06,20.00049669,0.004774067,0.000337224,0.275883456,0.644990976
0,491.2124214,0,-5.68E-06,20.00053561,0.004792425,0.00036419,0.328762949,0.673395441
0,491.2213835,0,-5.81E-06,20.00057386,0.004807243,0.000389617,0.385074626,0.703789058
0,491.2303286,0,-5.89E-06,20.00061198,0.00481906,0.000413409,0.444474172,0.735993604
0,491.2392543,0,-5.93E-06,20.00065044,0.00482837,0.000435481,0.506601616,0.769818477
0,491.2481584,0,-5.93E-06,20.00068962,0.0048356,0.000455755,0.571086402,0.805062621
0,491.2570392,0,-5.90E-06,20.00072982,0.004841106,0.000474167,0.63754939,0.841515679
0,491.2658952,0,-5.85E-06,20.00077129,0.00484518,0.000490661,0.705604495,0.878959082
0,491.2747253,0,-5.76E-06,20.00081421,0.004848063,0.000505197,0.774860478,0.917167232
0,491.2837764,0,-5.66E-06,20.00086002,0.004849982,0.000518068,0.846901869,0.95700395
0,491.2935262,0,-5.53E-06,20.00091157,0.00485105,0.000529652,0.925212881,1.000387559
0,491.2955374,0,-5.45E-06,20.00092252,0.004851148,0.000701282,0.94147075,1.007412229
0,491.2975407,0,-5.30E-06,20.00093357,0.00485121,0.000852664,0.957717959,1.011670603
0,491.2995381,0,-5.11E-06,20.00094472,0.004851237,0.000919122,0.973951762,1.013965254
0,491.3022278,0,-4.80E-06,20.00095992,0.004851218,0.000965533,0.995833917,1.015465676
0,491.3041949,0,-4.56E-06,20.00097116,0.004869379,0.000987027,1.009551431,1.01610033
0,491.3061675,0,-4.32E-06,20.00098251,0.004892255,0.001002156,1.019223766,1.016498302
0,491.3081449,0,-4.06E-06,20.00099397,0.004905648,0.001011409,1.025341442,1.016681206
0,491.310125,0,-3.81E-06,20.00100554,0.004913848,0.001016951,1.028974085,1.016729448
0,491.3130241,0,-3.44E-06,20.00102267,0.00492053,0.001021447,1.031752955,1.016670312
0,491.3165786,0,-2.98E-06,20.00104401,0.004923752,0.001023777,1.032830456,1.01648624
0,491.3207059,0,-2.44E-06,20.00106926,0.004924209,0.001024618,1.032598778,1.016210579
0,491.325682,0,-1.81E-06,20.0011004,0.004922986,0.001024844,1.031582179,1.015857024
0,491.3321826,0,-9.79E-07,20.00114224,0.004920573,0.001024981,1.030005626,1.015400272
0,491.3415008,0,1.88E-07,20.00120454,0.004916852,0.001025385,1.027835241,1.01477279
0,491.3563472,0,2.02E-06,20.00130949,0.00491097,0.001026628,1.024803904,1.013838371
0,491.3770656,0,4.52E-06,20.00146776,0.00490302,0.001029555,1.021320824,1.012656535
0,491.3998792,0,7.21E-06,20.0016581,0.004894713,0.001034405,1.018282814,1.011503658
0,491.4246264,0,1.01E-05,20.00188376,0.004888884,0.001041362,1.016491247,1.010402488
0,491.4498267,0,1.29E-05,20.00213419,0.004881941,0.001049864,1.014709155,1.009460351
0,491.4822416,0,1.64E-05,20.00248703,0.004870553,0.001062144,1.01263089,1.008647853
0,491.5296144,0,2.15E-05,20.00306507,0.004855779,0.001086093,1.01132161,1.007825609
0,491.5718505,0,2.60E-05,20.00364422,0.004844092,0.001125108,1.010679084,1.007433441
0,491.6133084,0,3.04E-05,20.00427188,0.004836635,0.001159488,1.01064143,1.00704157
0,491.6540153,0,3.47E-05,20.00494549,0.00482365,0.001184085,1.010070881,1.006582004
0,491.6939916,0,3.89E-05,20.00566284,0.004812695,0.001216243,1.00977568,1.006245361
0,491.733258,0,4.30E-05,20.00642192,0.004802028,0.001249431,1.009550542,1.005946314
0,491.7902747,0,4.90E-05,20.0076208,0.004786243,0.001300315,1.009276246,1.005557152
0,491.862454,0,5.66E-05,20.00930578,0.004769053,0.001370369,1.009347985,1.005139165
0,491.9321995,0,6.41E-05,20.01111843,0.004747759,0.001455369,1.009073641,1.004922186
0,492.0037967,0,7.20E-05,20.01317171,0.004726222,0.00153326,1.00895103,1.004598236
0,492.0844899,0,8.11E-05,20.01572455,0.00470097,0.001626607,1.008872619,1.004277468
0,492.1789147,0,9.20E-05,20.0190436,0.004671857,0.001744943,1.009059856,1.003969954
0,492.2688335,0,0.000102637,20.02255312,0.004639114,0.001864734,1.008977727,1.003715919
0,492.3713744,0,0.000115125,20.02699233,0.004599515,0.002014741,1.008980562,1.003516483
0,492.4808386,0,0.000128808,20.03227644,0.004553379,0.002180045,1.009025108,1.003286499
0,492.612836,0,0.000145537,20.03944545,0.00449324,0.00239056,1.00932059,1.003011116
0,492.7391847,0,0.000161622,20.04721514,0.004424534,0.002610344,1.009309909,1.002798821
0,492.8547592,0,0.000176197,20.05519698,0.004353968,0.002827315,1.009398117,1.002627999
0,492.9253918,0,0.000185011,20.06055216,0.004305846,0.002972476,1.009452849,1.002576836
0,493.0167557,0,0.000196009,20.06805021,0.004238081,0.003162324,1.009633982,1.00242399
0,493.1259434,0,0.000208273,20.07797552,0.004144486,0.003409845,1.009751929,1.002281686
0,493.2542575,0,0.000220827,20.09126132,0.004012825,0.003730987,1.0098158,1.002121371
0,493.3344487,0,0.00022737,20.10071537,0.0039151,0.003953725,1.00986819,1.002027589
0,493.4292267,0,0.000233063,20.1133355,0.003778637,0.004245034,1.009940569,1.001917567
