iter	RMSE
0	56.95002472
1	51.58171899
2	46.81494513
3	42.34106299
4	38.40630053
5	34.86220293
6	31.58896157
7	28.61399168
8	25.97888422
9	23.6144996
10	21.45418772
11	19.48452849
12	17.65494914
13	16.09247752
14	14.6627866
15	13.44883403
16	12.21600353
17	11.17864294
18	10.198017
19	9.332816088
20	8.565691854
21	7.835109329
22	7.260326981
23	6.712870454
24	6.21306448
25	5.772668168
26	5.392145702
27	5.01142179
28	4.685923635
29	4.367474597
30	4.09653895
31	3.871357279
32	3.672722317
33	3.490661473
34	3.319278911
35	3.166643346
36	3.022151143
37	2.896304257
38	2.784701119
39	2.693717889
40	2.609727616
41	2.533536797
42	2.434602808
43	2.372569327
44	2.304011291
45	2.233368911
46	2.192175839
47	2.142028247
48	2.105695115
49	2.053243902
50	2.012879711
51	1.976161191
52	1.951011573
53	1.909408865
54	1.884518615
55	1.849873704
56	1.818912914
57	1.787750194
58	1.758669695
59	1.738511394
60	1.711964038
61	1.694551528
62	1.671978008
63	1.654619161
64	1.618115485
65	1.592660223
66	1.575129152
67	1.555603492
68	1.538733037
69	1.521102406
70	1.505229472
71	1.482655156
72	1.470404203
73	1.453880075
74	1.434992132
75	1.417787828
76	1.402545876
77	1.387136414
78	1.375972189
79	1.361638381
80	1.351730804
81	1.33851603
82	1.324217242
83	1.313408677
84	1.298864981
85	1.286420021
86	1.27173151
87	1.261254728
88	1.255914042
89	1.245547225
90	1.232533179
91	1.21816782
92	1.206879148
93	1.199250009
94	1.192804883
95	1.17944861
96	1.167088925
97	1.161120767
98	1.152846293
99	1.144471476
100	1.133314261
101	1.122758391
102	1.114801344
103	1.108652439
104	1.103776962
105	1.096086086
106	1.089254254
107	1.08015953
108	1.071769541
109	1.062598887
110	1.053442532
111	1.046730317
112	1.039966873
113	1.032999266
114	1.029195696
115	1.022932745
116	1.017301155
117	1.008405618
118	1.00379794
119	0.9942323563
120	0.9892958083
121	0.9854340307
122	0.9774222207
123	0.9738427728
124	0.9693754958
125	0.9617320024
126	0.9588516013
127	0.9558277196
128	0.9517170239
129	0.9447501418
130	0.9369830568
131	0.9310793763
132	0.9262205964
133	0.9199739419
134	0.9127872358
135	0.9091149223
136	0.9042215201
137	0.9000211883
138	0.8961694529
139	0.8906201993
140	0.885040999
141	0.8784123501
142	0.8741520729
143	0.8673998128
144	0.8624960893
145	0.8578367953
146	0.8545378428
147	0.8516467559
148	0.8475252694
149	0.8448220157
150	0.8390941912
151	0.8326330564
152	0.830173391
153	0.8245466888
154	0.8214255428
155	0.8197156784
156	0.8161796252
157	0.8127471977
158	0.8083209476
159	0.8047731927
160	0.7994398404
161	0.7958157596
162	0.7899120891
163	0.7875010893
164	0.7838969676
165	0.7819684485
166	0.7796699431
167	0.7760485692
168	0.7707233616
169	0.7678932897
170	0.7638950025
171	0.7591416044
172	0.7552909173
173	0.7520609527
174	0.7501679793
175	0.7461859277
176	0.7436339534
177	0.7402973807
178	0.7377113516
179	0.7345818077
180	0.7308804918
181	0.7268548543
182	0.723971603
183	0.7215571567
184	0.7181951883
185	0.7148028284
186	0.7115385044
187	0.7095084299
188	0.7075030402
189	0.7065653152
190	0.70230975
191	0.6988401038
192	0.695105669
193	0.6912713337
194	0.688020364
195	0.6848644839
196	0.6833610017
197	0.6795466427
198	0.6779166473
199	0.6745874605
