iter	Passed	Remaining
0	2	587
1	3	389
2	4	313
3	5	286
4	7	284
5	8	273
6	9	258
7	10	247
8	11	237
9	12	234
10	13	228
11	14	223
12	15	218
13	16	213
14	17	209
15	17	205
16	18	203
17	19	201
18	20	198
19	21	195
20	22	193
21	23	190
22	24	188
23	25	186
24	26	185
25	27	183
26	28	181
27	29	179
28	30	178
29	31	176
30	32	174
31	33	173
32	33	171
33	35	172
34	36	170
35	37	168
36	37	166
37	38	165
38	39	165
39	41	164
40	42	163
41	43	161
42	43	160
43	44	158
44	45	157
45	46	156
46	47	155
47	48	153
48	49	152
49	50	151
50	51	149
51	52	148
52	53	148
53	55	149
54	56	149
55	57	148
56	58	147
57	59	146
58	61	145
59	62	145
60	62	143
61	63	142
62	64	141
63	65	139
64	67	139
65	68	139
66	69	138
67	71	137
68	72	137
69	73	137
70	75	136
71	76	136
72	78	135
73	79	135
74	80	134
75	81	133
76	83	133
77	84	132
78	85	131
79	86	130
80	88	129
81	89	128
82	90	128
83	92	127
84	93	126
85	96	128
86	97	126
87	98	125
88	99	123
89	100	122
90	101	121
91	103	121
92	105	120
93	106	119
94	107	119
95	108	118
96	110	117
97	111	115
98	112	115
99	114	114
100	115	113
101	116	112
102	118	111
103	119	110
104	120	108
105	122	109
106	125	108
107	126	108
108	128	107
109	129	105
110	130	104
111	131	103
112	132	102
113	133	101
114	134	99
115	135	98
116	136	97
117	138	96
118	139	95
119	140	93
120	141	92
121	142	91
122	143	89
123	144	88
124	146	87
125	147	86
126	148	85
127	149	84
128	150	82
129	152	81
130	153	80
131	154	79
132	155	78
133	156	76
134	157	75
135	158	74
136	159	73
137	160	72
138	161	71
139	162	69
140	163	68
141	165	67
142	166	66
143	167	65
144	168	63
145	168	62
146	169	61
147	170	60
148	172	58
149	173	57
150	174	56
151	174	55
152	175	54
153	176	52
154	178	51
155	179	50
156	180	49
157	182	48
158	183	47
159	184	46
160	185	44
161	186	43
162	186	42
163	187	41
164	188	40
165	189	38
166	190	37
167	192	36
168	193	35
169	194	34
170	195	33
171	195	31
172	197	30
173	198	29
174	198	28
175	199	27
176	200	26
177	201	24
178	202	23
179	203	22
180	205	21
181	207	20
182	208	19
183	208	18
184	209	16
185	210	15
186	211	14
187	212	13
188	213	12
189	214	11
190	215	10
191	215	8
192	216	7
193	217	6
194	218	5
195	219	4
196	220	3
197	221	2
198	222	1
199	223	0
